Rang,Nom Agence,Quartier/Commune,Telephone,Site Web,Type,Tier ICP,Specialite Probable,Score ICP,Raison du Score,Action Recommandee
1,Cabinet Rivet & Vigreux,Cote Pavee / Busca / Capitole,05 61 54 71 65,rivet-vigreux-immobilier.com,Independant,1,Maisons prestige quartiers premium,95,"Independant historique Cote Pavee. Specialise maisons. Zone premium EGB. Decision rapide.",LinkedIn du gerant + message personnalise
2,Maison Soler de Lastelle,Cote Pavee (Est Toulouse),05 61 74 91 48,maisonsolerdelastelle.com,Independant,1,Immobilier prestige Est Toulouse,93,"Nom 'Maison' = focus maisons. Cote Pavee = clientele CSP++. Independant = flexible.",LinkedIn + cafe en personne
3,Cardinal Immobilier,Carmes / Capitole / Saint-Etienne,05 34 31 54 00,cardinalimmobilier.com,Independant,1,Biens de caractere centre Toulouse,92,"Independant centre historique. Biens a renover = besoin EGB direct.",Email personnalise + appel
4,Collection Immobiliere,Saint-Etienne (Toulouse centre),06 52 02 75 45,collection-immobiliere.com,Independant,1,Biens atypiques et prestige,91,"Independant premium. Numero mobile = contact direct decideur.",Appel direct mobile
5,Alteria Immobilier,Castanet-Tolosan,05 34 66 67 00,alteria-immobilier.fr,Independant,1,Immobilier Castanet general,90,"Independant zone EGB (meme commune). Proximite geographique ideale.",Visite en agence directe
6,Passion Immo,Castanet-Tolosan,05 61 36 00 04,passionimmo.com,Independant,1,Immobilier Castanet,89,"Independant local Castanet. Petite structure = relation directe.",Visite en agence
7,EST HABITAT,Cote Pavee / Guilhemery / Busca,09 82 45 25 15,esthabitat.com,Independant,1,Maisons quartiers Est Toulouse,88,"Focus est toulousain = zone EGB. Independant specialise.",LinkedIn du gerant
8,Booster Immobilier,Cote Pavee / Guilhemery,05 61 83 93 35,booster-immobilier.com,Independant,1,Immobilier Cote Pavee,87,"Independant zone premium. Nom dynamique = agence active.",Email + appel
9,Agence VIA,Les Carmes,05 61 53 20 83,agencevia.com,Independant,1,Immobilier Carmes,86,"Independant quartier historique. Biens anciens = potentiel renovation.",LinkedIn + email
10,Habitat Communication,Saint-Etienne / Carmes / Ozenne,05 61 53 70 29,habitat-communication.com,Independant,1,Immobilier prestige centre,85,"Independant multi-quartiers premium. Anciennete probable.",Email personnalise
11,Rive Gauche Immobilier,Saint-Cyprien,05 32 66 44 44,rivegaucheimmobiliertoulouse.com,Independant,1,Immobilier Saint-Cyprien,84,"Independant rive gauche. Quartier en gentrification = projets reno.",LinkedIn + email
12,KB Immo 31,Castanet-Tolosan,05 61 204 152,kbimmo31.fr,Independant,1,Immobilier Castanet local,83,"Independant ultra-local Castanet. Meme zone qu EGB.",Visite en agence
13,Prada Prestige Immo,Toulouse et environs,06 77 85 95 48,prada-prestige-immo.fr,Independant,1,Immobilier prestige Toulouse,82,"Prestige dans le nom. Mobile = contact direct. Independant.",Appel direct mobile
14,IMMO-B,Ramonville-Saint-Agne,05 61 28 61 28,immo-b.com,Independant,1,Immobilier Ramonville,81,"Independant Ramonville. Metro 2027 = forte activite attendue.",Email + appel
15,Contact Immobilier 31,Ramonville-Saint-Agne,05 62 88 39 94,ramonville.contactimmo31.com,Independant,1,Immobilier Ramonville,80,"Independant local. Zone en croissance.",Email + appel
16,Darnault Immobilier,Balma,05 31 61 51 10,darnault-immo.fr,Independant,1,Immobilier Balma,79,"Independant Balma. Zone familles CSP+. Maisons individuelles.",LinkedIn + email
17,Immobilier du Palais,Les Carmes / Palais de Justice,05 61 53 70 29,immobilier-palais-toulouse.fr,Independant,1,Biens centre historique,78,"Independant coeur historique. Biens a fort potentiel renovation.",Email personnalise
18,Groupe Tolosan Immobilier,Escalquens / Belberaud,05 34 66 62 50,groupe-tolosan-immobilier.com,Independant,1,Immobilier sud-est Toulouse,77,"Independant zone Castanet elargie. 'Tolosan' = ancrage local fort.",Email + appel
19,Dufour Immobilier,Colomiers,--,dufourimmobilier.fr,Independant,2,Immobilier Colomiers,75,"Independant Colomiers. Zone Airbus. Maisons pour cadres.",LinkedIn du gerant
20,Agence Palomar,Blagnac,--,agence-palomar.fr,Independant,2,Immobilier Blagnac,74,"Independant Blagnac. Zone Airbus premium.",LinkedIn + site web contact
21,S&F Immobilier Associes,Colomiers,--,sf-immobilier.fr,Independant,2,Immobilier Colomiers,73,"Independant local. 'Associes' = structure etablie.",LinkedIn
22,Alain Piboul Immobilier,Tournefeuille,06 23 14 16 47,alainpiboul-immobilier.com,Independant,2,Immobilier Tournefeuille,72,"Independant nom propre = gerant identifie. Mobile direct.",Appel direct mobile
23,Novilis Immobilier,Tournefeuille / Ramonville,05 34 51 70 71,novilis.fr,Reseau local,2,Multi-agences sud Toulouse,71,"Reseau local (pas national). Multi-implantations = volume.",Email siege + LinkedIn directeur
24,L Union Immobilier,L Union,--,lunionimmo.com,Independant,2,Immobilier L Union,70,"Independant ultra-local. Zone construction neuve.",LinkedIn + site web contact
25,Empeiria,L Union,07 89 09 53 41,fnaim.fr (fiche),Independant,2,Immobilier L Union,69,"FNAIM member = serieux. Mobile = contact direct.",Appel direct
26,Integral Immobilier,Cugnaux,--,integral-immobilier.net,Independant,2,Immobilier Cugnaux,68,"Independant local. Zone prix competitifs.",Email via site
27,D.SY.D Immobilier,Cugnaux,06 70 00 68 60,dsyd-immobilier.com,Independant,2,Immobilier Cugnaux,67,"Independant. Mobile = decideur direct.",Appel direct
28,Pole Immobilier,Labege,05 61 00 24 24,pole-immobilier.com,Independant,2,Immobilier Labege,66,"Independant zone tech/innovation. Cadres Labege Innopole.",Email + appel
29,Immo Concept,Escalquens,05 61 34 23 55,immoconcept31.fr,Independant,2,Immobilier Escalquens,65,"Independant local sud-est.",Email + appel
30,Agence du Touch,Plaisance-du-Touch,05 61 86 23 33,fnaim.fr (fiche),Independant,2,Immobilier Plaisance,64,"FNAIM member. Independant local.",Email + appel
31,BARNES Toulouse,Carmes / Capitole / Cote Pavee,via site,barnes-toulouse.com,Franchise premium,1,Immobilier luxe Toulouse,76,"Franchise mais ultra-premium. Clients >500k. Fort potentiel volume. Approche directeur agence local.",LinkedIn directeur agence Toulouse
